Timestamp,GPU Utilization (%),GPU Memory Utilization (%)
1717950967,92,39
1717950968,89,48
1717950969,79,58
1717950970,86,43
1717950971,87,36
1717950973,79,56
1717950974,100,26
1717950975,77,54
1717950976,79,57
1717950977,78,56
1717950978,87,43
1717950979,79,47
1717950980,90,35
1717950981,100,34
1717950982,100,25
1717950983,98,31
1717950984,79,52
1717950985,89,41
1717950986,100,26
1717950987,89,36
1717950989,78,56
1717950990,96,29
1717950991,82,49
1717950992,85,36
1717950993,90,35
1717950994,96,34
1717950995,100,25
1717950996,84,47
1717950997,87,45
1717950998,82,54
1717950999,97,31
1717951000,93,25
1717951001,78,53
1717951002,88,40
1717951003,81,54
1717951005,100,25
1717951006,85,59
1717951007,86,53
1717951008,90,47
1717951009,80,57
1717951010,82,57
1717951011,81,57
1717951012,78,56
1717951013,81,56
1717951014,100,25
1717951015,86,56
1717951016,100,26
1717951017,95,29
1717951018,77,57
1717951019,100,27
1717951020,89,56
1717951022,84,46
1717951023,79,57
1717951024,81,51
1717951025,79,52
1717951026,100,26
1717951027,86,48
1717951028,76,58
1717951029,84,46
1717951030,93,39
1717951031,81,58
1717951032,86,30
1717951033,98,28
1717951034,100,27
1717951035,100,27
1717951036,85,47
1717951037,100,26
1717951039,81,58
1717951040,80,57
1717951041,97,25
1717951042,94,33
1717951043,84,60
1717951044,94,30
1717951045,87,41
1717951046,91,41
1717951047,81,58
1717951048,94,26
1717951049,100,27
1717951050,79,56
1717951051,100,27
1717951052,89,49
1717951053,85,44
1717951054,78,56
1717951056,79,58
1717951057,100,27
1717951058,78,52
1717951059,82,52
1717951060,83,52
1717951061,78,54
1717951062,83,48
1717951063,82,43
1717951064,100,52
1717951065,89,45
1717951066,82,62
1717951067,83,38
1717951068,100,25
1717951069,87,42
1717951070,98,26
1717951072,79,49
1717951073,96,26
1717951074,91,33
1717951075,86,40
1717951076,100,27
1717951077,78,55
1717951078,97,26
1717951079,91,27
1717951080,82,53
1717951081,74,54
1717951082,78,57
1717951083,79,59
1717951084,100,27
1717951085,78,58
1717951086,88,25
1717951088,100,25
1717951089,98,27
1717951090,87,37
1717951091,94,27
1717951092,0,0
1717951093,83,47
1717951094,79,56
1717951095,78,58
1717951096,77,59
1717951097,79,58
1717951098,81,38
1717951099,87,45
1717951100,86,41
1717951101,100,26
1717951102,79,59
1717951104,80,58
1717951105,77,53
1717951106,85,52
1717951107,78,52
1717951108,100,25
1717951109,100,27
1717951110,93,53
1717951111,80,55
1717951112,92,36
1717951113,100,25
1717951114,85,50
1717951115,79,53
1717951116,78,48
1717951117,79,57
1717951118,90,50
1717951119,81,48
1717951121,79,62
1717951122,97,26
1717951123,100,25
1717951124,90,40
1717951125,82,63
1717951126,91,40
1717951127,87,63
1717951128,100,27
1717951129,100,25
1717951130,88,43
1717951131,86,61
1717951132,82,59
1717951133,100,25
1717951134,77,56
1717951135,97,34
1717951136,100,25
1717951138,79,54
1717951139,85,42
1717951140,85,49
1717951141,80,57
1717951142,100,31
1717951143,100,27
1717951144,84,53
1717951145,92,42
1717951146,79,57
1717951147,83,58
1717951148,93,40
1717951149,80,59
1717951150,86,32
1717951151,92,38
1717951152,82,44
1717951154,82,57
1717951155,75,54
1717951156,100,25
1717951157,77,41
1717951158,83,52
1717951159,79,57
1717951160,80,60
1717951161,85,60
1717951162,86,49
1717951163,78,54
1717951164,100,27
1717951165,100,27
1717951166,79,44
1717951167,81,55
1717951168,100,27
1717951169,78,54
1717951171,100,27
1717951172,83,53
1717951173,79,59
1717951174,97,37
1717951175,85,41
1717951176,88,45
1717951177,80,58
1717951178,98,55
1717951179,80,57
1717951180,93,40
1717951181,100,25
1717951182,100,25
1717951183,87,50
1717951184,88,43
1717951185,82,58
1717951186,92,40
1717951188,92,42
1717951189,84,54
1717951190,92,25
1717951191,89,40
1717951192,79,54
1717951193,97,28
1717951194,80,55
1717951195,79,54
1717951196,76,54
1717951197,80,52
1717951198,80,61
1717951199,100,27
1717951200,89,46
1717951201,86,46
1717951202,78,48
1717951204,82,54
1717951205,81,55
1717951206,81,56
1717951207,16,11
1717951208,100,31
1717951209,89,27
1717951210,79,43
1717951211,84,45
1717951212,100,25
1717951213,100,41
1717951214,78,51
1717951215,98,28
1717951216,77,54
1717951217,100,25
1717951218,83,52
1717951220,90,41
1717951221,78,55
1717951222,100,25
1717951223,100,27
1717951224,76,53
1717951225,100,25
1717951226,83,60
1717951227,75,53
1717951228,86,25
1717951229,88,62
1717951230,74,54
1717951231,86,50
1717951232,91,40
1717951233,81,57
1717951234,100,25
1717951236,88,36
1717951237,89,58
1717951238,81,61
1717951239,78,56
1717951240,83,27
1717951241,97,29
1717951242,81,63
1717951243,100,27
1717951244,100,27
1717951245,83,62
1717951246,79,59
1717951247,100,27
1717951248,79,47
1717951249,90,37
1717951250,100,25
1717951251,82,60
1717951253,82,52
1717951254,94,30
1717951255,94,27
1717951256,100,27
1717951257,80,59
1717951258,87,41
1717951259,80,59
1717951260,84,53
1717951261,96,26
1717951262,88,37
1717951263,81,46
1717951264,83,61
1717951265,83,61
1717951266,100,25
1717951267,82,57
1717951269,87,41
1717951270,81,60
1717951271,100,27
1717951272,82,58
1717951273,93,37
1717951274,92,34
1717951275,82,55
1717951276,76,50
1717951277,79,55
1717951278,78,51
1717951279,78,49
1717951280,90,34
1717951281,89,40
1717951282,79,57
1717951283,100,27
1717951285,82,49
1717951286,91,48
1717951287,82,51
1717951288,79,46
1717951289,100,25
1717951290,83,38
1717951291,100,26
1717951292,85,43
1717951293,81,46
1717951294,78,53
1717951295,79,53
1717951296,78,53
1717951297,90,50
1717951298,80,56
1717951299,80,56
1717951301,100,25
1717951302,80,53
1717951303,89,40
1717951304,100,27
1717951305,100,27
1717951306,79,47
1717951307,85,43
1717951308,95,31
1717951309,89,41
1717951310,83,43
1717951311,88,45
1717951312,98,27
1717951313,90,40
1717951314,76,56
1717951315,78,56
1717951316,100,44
1717951318,95,26
1717951319,95,28
1717951320,81,55
1717951321,81,54
1717951322,100,27
1717951323,78,51
1717951324,80,47
1717951325,80,55
1717951326,86,48
1717951327,87,39
1717951328,80,55
1717951329,96,27
1717951330,100,26
1717951331,89,43
1717951332,78,53
1717951334,93,31
1717951335,82,44
1717951336,82,56
1717951337,81,49
1717951338,75,50
1717951339,100,27
1717951340,90,27
1717951341,74,47
1717951342,82,57
1717951343,88,41
1717951344,78,58
1717951345,97,37
1717951346,100,25
1717951347,100,25
1717951348,80,56
1717951349,98,32
1717951351,81,54
1717951352,100,48
1717951353,83,62
1717951354,100,28
1717951355,93,36
1717951356,87,62
1717951357,100,27
1717951358,80,55
1717951359,100,27
1717951360,79,61
1717951361,80,62
1717951362,85,55
1717951363,75,51
1717951364,86,47
1717951365,100,26
1717951367,79,52
1717951368,90,25
1717951369,96,31
1717951370,100,25
1717951371,77,51
1717951372,84,31
1717951373,100,25
1717951374,85,50
1717951375,70,46
1717951376,82,46
1717951377,89,42
1717951378,89,34
1717951379,76,31
1717951380,100,30
1717951381,79,56
1717951383,84,25
1717951384,81,55
1717951385,89,37
1717951386,79,56
1717951387,100,27
1717951388,100,25
1717951389,92,33
1717951390,79,46
1717951391,80,59
1717951392,79,58
1717951393,84,48
1717951394,80,53
1717951395,100,26
1717951396,85,49
1717951397,100,25
1717951399,95,26
1717951400,96,30
1717951401,79,57
1717951402,97,59
1717951403,100,26
1717951404,93,28
1717951405,97,27
1717951406,79,59
1717951407,100,26
1717951408,79,51
1717951409,100,27
1717951410,81,62
1717951411,89,41
1717951412,80,60
1717951413,100,25
1717951414,81,57
1717951416,81,57
1717951417,80,58
1717951418,81,56
1717951419,87,46
1717951420,87,48
1717951421,79,60
1717951422,93,54
1717951423,100,27
1717951424,86,41
1717951425,95,33
1717951426,100,27
1717951427,85,45
1717951428,81,59
1717951429,80,59
1717951430,82,55
1717951432,100,25
1717951433,81,53
1717951434,100,27
1717951435,85,47
1717951436,86,44
1717951437,88,46
1717951438,100,27
1717951439,81,54
1717951440,100,27
1717951441,100,32
1717951442,78,57
1717951443,84,44
1717951444,79,59
1717951445,81,61
1717951446,79,60
1717951447,84,52
1717951449,81,51
1717951450,78,53
1717951451,78,54
1717951452,78,55
1717951453,100,37
1717951454,97,25
1717951455,89,39
1717951456,92,56
1717951457,82,53
1717951458,81,56
1717951459,87,52
1717951460,100,25
1717951461,90,42
1717951462,80,55
1717951464,83,30
1717951465,100,27
1717951466,89,39
1717951467,78,57
1717951468,100,49
1717951469,100,27
1717951470,91,35
1717951471,80,58
1717951472,87,27
1717951473,91,34
1717951474,99,30
1717951475,79,48
1717951476,100,30
1717951477,80,48
1717951478,81,56
1717951479,79,54
1717951481,81,57
1717951482,82,58
1717951483,80,59
1717951484,80,57
1717951485,86,53
1717951486,93,34
1717951487,82,50
1717951488,98,33
1717951489,97,29
1717951490,80,59
1717951491,100,28
1717951492,100,25
1717951493,78,53
1717951494,93,48
1717951495,94,28
1717951497,84,51
1717951498,78,54
1717951499,96,31
1717951500,77,54
1717951501,98,35
1717951502,85,29
1717951503,78,52
1717951504,78,51
1717951505,91,35
1717951506,100,27
1717951507,80,55
1717951508,78,52
1717951509,93,30
1717951510,100,27
1717951511,93,28
1717951513,83,43
1717951514,80,41
1717951515,78,53
1717951516,97,33
1717951517,79,49
1717951518,100,25
1717951519,100,25
1717951520,90,41
1717951521,93,25
1717951522,81,60
1717951523,98,33
1717951524,98,27
1717951525,86,53
1717951526,100,27
1717951527,81,61
1717951529,90,37
1717951530,77,58
1717951531,82,62
1717951532,93,34
1717951533,92,58
1717951534,83,53
1717951535,87,36
1717951536,79,56
1717951537,79,59
1717951538,76,58
1717951539,97,29
1717951540,78,60
1717951541,100,25
1717951542,82,43
1717951543,82,59
1717951545,78,42
1717951546,100,25
1717951547,79,57
1717951548,80,27
1717951549,100,27
1717951550,79,56
1717951551,90,40
1717951552,100,27
1717951553,80,57
1717951554,100,25
1717951555,78,27
1717951556,82,59
1717951557,80,49
1717951558,100,27
1717951559,81,55
1717951561,78,53
1717951562,72,52
1717951563,84,58
1717951564,97,29
1717951565,84,60
1717951566,100,27
1717951567,80,59
1717951568,79,58
1717951569,80,59
1717951570,100,25
1717951571,89,27
1717951572,96,25
1717951573,78,57
1717951574,82,60
1717951575,78,48
1717951576,77,59
1717951578,77,56
1717951579,82,30
1717951580,97,30
1717951581,85,45
1717951582,77,41
1717951583,78,55
1717951584,89,39
1717951585,79,57
1717951586,97,34
1717951587,79,45
1717951588,95,32
1717951589,78,49
1717951590,100,26
1717951591,74,56
1717951592,82,57
1717951593,80,57
1717951595,80,57
1717951596,84,26
1717951597,97,27
1717951598,100,27
1717951599,73,50
1717951600,86,26
1717951601,80,58
1717951602,79,58
1717951603,89,36
1717951604,86,56
1717951605,95,36
1717951606,0,0
1717951607,78,56
1717951608,94,31
1717951609,90,39
1717951610,81,57
1717951612,86,54
1717951613,81,58
1717951614,100,25
1717951615,97,37
1717951616,93,38
1717951617,100,25
1717951618,83,45
1717951619,94,33
1717951620,75,51
1717951621,83,47
1717951622,94,34
1717951623,79,57
1717951624,100,25
1717951625,95,36
1717951626,91,41
1717951627,100,26
1717951629,100,56
1717951630,87,39
1717951631,82,53
1717951632,84,60
1717951633,81,59
1717951634,100,25
1717951635,85,61
1717951636,83,42
1717951637,80,60
1717951638,83,46
1717951639,76,56
1717951640,84,64
1717951641,81,62
1717951642,93,30
1717951643,76,58
1717951644,78,62
1717951646,88,37
1717951647,89,42
1717951648,100,27
1717951649,93,34
1717951650,84,40
1717951651,77,57
1717951652,79,55
1717951653,74,54
1717951654,82,57
1717951655,84,54
1717951656,97,53
1717951657,79,45
1717951658,88,46
1717951659,81,53
1717951660,97,53
1717951661,85,40
1717951663,100,27
1717951664,100,30
1717951665,82,56
1717951666,85,46
1717951667,70,18
1717951668,87,51
1717951669,85,55
1717951670,87,51
1717951671,85,55
1717951672,75,48
1717951673,93,38
1717951674,90,41
1717951675,79,50
1717951676,88,52
1717951677,85,57
1717951678,83,56
1717951680,90,42
1717951681,82,57
1717951682,89,38
1717951683,100,26
1717951684,89,54
1717951685,90,46
1717951686,82,53
1717951687,85,57
1717951688,89,45
1717951689,96,34
1717951690,100,28
1717951691,100,49
1717951692,85,61
1717951693,87,56
1717951694,89,48
1717951696,83,61
1717951697,90,49
1717951698,82,55
1717951699,76,53
1717951700,84,31
1717951701,100,30
1717951702,97,31
1717951703,83,60
1717951704,86,47
1717951705,87,55
1717951706,85,60
1717951707,96,34
1717951708,83,49
1717951709,79,56
1717951710,95,25
1717951712,81,52
1717951713,80,53
1717951714,81,56
1717951715,98,27
1717951716,80,56
1717951717,90,36
1717951718,71,45
1717951719,100,45
1717951720,81,55
1717951721,97,29
1717951722,79,54
1717951723,77,54
1717951724,98,32
1717951725,75,53
1717951726,78,55
1717951727,96,35
1717951729,79,50
1717951730,81,54
1717951731,96,30
1717951732,89,25
1717951733,86,55
1717951734,96,33
1717951735,98,26
1717951736,86,55
1717951737,90,30
1717951738,83,37
1717951739,97,27
1717951740,80,43
1717951741,81,58
1717951742,83,60
1717951743,78,57
1717951744,95,34
1717951746,100,30
1717951747,100,25
1717951748,82,50
1717951749,79,56
1717951750,89,36
1717951751,82,59
1717951752,85,51
1717951753,85,46
1717951754,77,56
1717951755,97,40
1717951756,91,34
1717951757,83,42
1717951758,89,37
1717951759,100,43
1717951760,83,59
1717951762,81,57
1717951763,80,56
1717951764,84,53
1717951765,76,54
1717951766,83,60
1717951767,80,58
1717951768,100,27
1717951769,89,41
1717951770,80,60
1717951771,83,27
1717951772,81,58
1717951773,81,55
1717951774,96,31
1717951775,10,7
1717951776,82,55
1717951778,89,30
1717951779,100,51
1717951780,82,51
1717951781,93,34
1717951782,80,59
1717951783,79,55
1717951784,100,25
1717951785,100,26
1717951786,83,41
1717951787,84,56
1717951788,88,40
1717951789,95,26
1717951790,88,50
1717951791,86,36
1717951792,79,59
1717951793,82,51
1717951795,87,60
1717951796,92,32
1717951797,84,49
1717951798,88,48
1717951799,92,40
1717951800,77,53
1717951801,78,55
1717951802,82,46
1717951803,77,57
1717951804,88,48
1717951805,100,26
1717951806,78,45
1717951807,92,28
1717951808,88,50
1717951809,79,59
1717951811,88,32
1717951812,77,55
1717951813,93,31
1717951814,93,57
1717951815,89,42
1717951816,97,36
1717951817,80,59
1717951818,88,49
1717951819,78,54
1717951820,81,59
1717951821,86,43
1717951822,90,42
1717951823,95,42
1717951824,84,63
1717951825,85,40
1717951826,85,57
1717951828,91,40
1717951829,79,55
1717951830,100,29
1717951831,78,56
1717951832,98,25
1717951833,82,57
1717951834,58,23
1717951835,89,44
1717951836,97,25
1717951837,100,27
1717951838,96,29
1717951839,80,52
1717951840,95,36
1717951841,100,52
1717951842,92,44
1717951844,100,30
1717951845,84,61
1717951846,78,50
1717951847,79,55
1717951848,84,58
1717951849,85,59
1717951850,100,27
1717951851,88,55
1717951852,84,60
1717951853,95,28
1717951854,84,59
1717951855,98,31
1717951856,84,56
1717951857,86,60
1717951858,100,30
1717951860,84,26
1717951861,100,25
1717951862,100,25
1717951863,82,58
1717951864,80,40
1717951865,85,52
1717951866,86,48
1717951867,81,55
1717951868,97,57
1717951869,100,30
1717951870,88,41
1717951871,78,51
1717951872,83,42
1717951873,86,49
1717951874,93,32
1717951876,85,46
1717951877,100,27
1717951878,85,48
1717951879,100,25
1717951880,81,51
1717951881,82,53
1717951882,100,28
1717951883,80,51
1717951884,83,54
1717951885,100,27
1717951886,87,39
1717951887,76,53
1717951888,79,59
1717951889,78,52
1717951890,79,57
1717951891,79,56
1717951893,100,27
1717951894,95,24
1717951895,82,55
1717951896,93,31
1717951897,78,54
1717951898,100,28
1717951899,97,31
1717951900,83,25
1717951901,100,25
1717951902,78,53
1717951903,84,43
1717951904,100,27
1717951905,85,53
1717951906,95,30
1717951907,80,58
1717951908,81,58
1717951910,93,39
1717951911,79,57
1717951912,100,26
1717951913,91,35
1717951914,100,25
1717951915,79,54
1717951916,92,26
1717951917,81,51
1717951918,78,56
1717951919,77,56
1717951920,88,32
1717951921,95,35
1717951922,84,45
1717951923,80,38
1717951924,82,52
1717951925,84,40
1717951927,100,27
1717951928,86,40
1717951929,96,30
1717951930,81,60
1717951931,78,61
1717951932,97,29
1717951933,77,52
1717951934,88,46
1717951935,78,36
1717951936,79,56
1717951937,77,54
1717951938,79,54
1717951939,84,49
1717951940,82,49
1717951942,81,40
1717951943,83,52
1717951944,86,36
1717951945,100,25
1717951946,86,37
1717951947,0,0
1717951948,78,52
1717951949,82,56
1717951950,100,26
1717951951,78,52
1717951952,78,58
1717951953,81,58
1717951954,89,42
1717951955,88,50
1717951956,77,58
1717951957,84,49
1717951959,89,44
1717951960,85,44
1717951961,83,57
1717951962,80,46
1717951963,75,52
1717951964,94,26
1717951965,100,27
1717951966,96,28
1717951967,86,49
1717951968,80,58
1717951969,91,38
1717951970,86,59
1717951971,85,49
1717951972,79,62
1717951973,78,61
1717951975,92,41
1717951976,80,57
1717951977,78,56
1717951978,75,55
1717951979,97,35
1717951980,79,59
1717951981,97,26
1717951982,92,43
1717951983,100,25
1717951984,77,46
1717951985,100,27
1717951986,87,37
1717951987,94,32
1717951988,86,63
1717951989,94,33
1717951991,85,48
1717951992,85,63
1717951993,84,58
1717951994,87,37
1717951995,80,55
1717951996,97,30
1717951997,79,53
1717951998,100,25
1717951999,89,41
1717952000,100,25
1717952001,100,25
1717952002,89,40
1717952003,100,26
1717952004,85,27
1717952005,100,25
1717952006,100,27
1717952008,100,25
1717952009,81,57
1717952010,92,43
1717952011,77,53
1717952012,84,56
1717952013,84,61
1717952014,97,26
1717952015,90,48
1717952016,79,26
1717952017,91,32
1717952018,85,60
1717952019,82,58
1717952020,100,27
1717952021,83,60
1717952022,94,35
1717952024,100,27
1717952025,80,54
1717952026,98,28
1717952027,77,55
1717952028,100,25
1717952029,100,25
1717952030,96,30
1717952031,86,46
1717952032,100,27
1717952033,88,47
1717952034,100,27
1717952035,78,52
1717952036,80,62
1717952037,97,30
1717952038,81,58
1717952039,79,57
1717952041,92,32
1717952042,82,60
1717952043,85,57
1717952044,86,47
1717952045,100,27
1717952046,85,39
1717952047,100,25
1717952048,77,53
1717952049,99,25
1717952050,100,45
1717952051,81,53
1717952052,80,58
1717952053,90,49
1717952054,96,35
1717952055,83,61
1717952057,79,60
1717952058,80,61
1717952059,96,30
1717952060,100,30
1717952061,82,63
1717952062,77,57
1717952063,81,44
1717952064,89,44
1717952065,93,30
1717952066,83,47
1717952067,78,53
1717952068,100,27
1717952069,80,55
1717952070,96,26
1717952071,81,56
1717952073,79,54
1717952074,81,56
1717952075,81,57
1717952076,93,39
1717952077,94,31
1717952078,86,26
1717952079,82,51
1717952080,100,27
1717952081,83,41
1717952082,100,26
1717952083,88,36
1717952084,91,34
1717952085,97,54
1717952086,79,55
1717952087,79,44
1717952088,84,44
1717952090,94,53
1717952091,81,55
1717952092,93,31
1717952093,76,54
1717952094,93,26
1717952095,80,53
1717952096,80,44
1717952097,79,52
1717952098,78,52
1717952099,100,25
1717952100,99,27
1717952101,89,58
1717952102,86,61
1717952103,100,24
1717952104,87,48
1717952106,100,25
1717952107,76,56
1717952108,97,30
1717952109,100,47
1717952110,95,37
1717952111,100,27
1717952112,86,51
1717952113,100,34
1717952114,86,63
1717952115,93,33
1717952116,99,27
1717952117,100,26
1717952118,70,51
1717952119,100,27
1717952120,83,63
1717952121,84,61
1717952123,83,55
1717952124,100,30
1717952125,86,60
1717952126,81,59
1717952127,82,62
1717952128,81,62
1717952129,79,59
1717952130,77,58
1717952131,100,27
1717952132,100,27
1717952133,100,30
1717952134,83,51
1717952135,77,57
1717952136,83,25
1717952137,90,32
1717952139,81,52
1717952140,87,48
1717952141,88,39
1717952142,90,32
1717952143,100,26
1717952144,80,56
1717952145,84,54
1717952146,78,55
1717952147,76,53
1717952148,79,48
1717952149,86,58
1717952150,100,30
1717952151,82,43
1717952152,85,60
1717952153,100,30
1717952154,78,55
1717952156,90,40
1717952157,84,27
1717952158,88,32
1717952159,83,47
1717952160,77,52
1717952161,80,54
1717952162,84,44
1717952163,95,35
1717952164,93,29
1717952165,84,41
1717952166,81,56
1717952167,100,25
1717952168,80,36
1717952169,100,26
1717952170,86,55
1717952171,76,51
1717952173,92,52
1717952174,82,61
1717952175,96,31
1717952176,97,27
1717952177,70,49
1717952178,97,24
1717952179,86,44
1717952180,87,55
1717952181,86,50
1717952182,83,58
1717952183,86,40
1717952184,94,28
1717952185,88,36
1717952186,97,29
1717952187,82,60
1717952189,82,52
1717952190,100,26
1717952191,99,27
1717952192,80,60
1717952193,81,54
1717952194,87,48
1717952195,98,63
1717952196,88,41
1717952197,80,57
1717952198,84,47
1717952199,100,51
1717952200,81,51
1717952201,77,54
1717952202,95,26
1717952203,86,42
1717952205,83,62
1717952206,100,27
1717952207,95,35
1717952208,96,36
1717952209,88,49
1717952210,82,63
1717952211,76,29
1717952212,81,61
1717952213,89,33
1717952214,79,55
1717952215,79,47
1717952216,82,39
1717952217,82,62
1717952218,100,34
1717952219,69,50
1717952221,82,59
1717952222,94,31
1717952223,85,59
1717952224,80,54
1717952225,86,46
1717952226,100,25
1717952227,81,53
1717952228,84,47
1717952229,97,29
1717952230,81,41
1717952231,85,54
1717952232,86,39
1717952233,100,27
1717952234,96,31
1717952235,100,39
1717952236,0,0
1717952237,84,56
1717952239,96,34
1717952240,88,45
1717952241,89,37
1717952242,84,59
1717952243,75,50
1717952244,82,33
1717952245,83,56
1717952246,100,26
1717952247,79,52
1717952248,80,49
1717952249,80,55
1717952250,89,36
1717952251,100,35
1717952252,100,25
1717952253,91,37
1717952254,100,25
1717952256,87,48
1717952257,83,63
1717952258,88,32
1717952259,79,55
1717952260,97,36
1717952261,81,63
1717952262,78,61
1717952263,92,25
1717952264,80,59
1717952265,81,54
1717952266,100,27
1717952267,86,63
1717952268,92,41
1717952269,86,66
1717952270,90,32
1717952272,96,34
1717952273,86,65
1717952274,77,58
1717952275,88,54
1717952276,88,66
1717952277,84,61
1717952278,87,57
1717952279,100,25
1717952280,85,55
1717952281,100,27
1717952282,87,52
1717952283,100,27
1717952284,87,52
1717952285,85,55
1717952286,83,43
1717952287,84,50
1717952289,100,27
1717952290,93,31
1717952291,80,50
1717952292,83,56
1717952293,79,65
1717952294,79,65
1717952295,86,36
1717952296,83,49
1717952297,81,68
1717952298,100,26
1717952299,77,62
1717952300,93,45
1717952301,21,18
1717952302,90,62
1717952303,81,68
1717952305,100,30
1717952306,96,34
1717952307,85,73
1717952308,88,76
1717952309,93,57
1717952310,89,72
1717952311,100,25
1717952312,89,76
1717952313,89,77
1717952314,89,77
1717952315,89,79
1717952316,89,68
1717952317,90,81
1717952318,90,81
1717952319,91,82
1717952321,0,0
1717952322,0,0
1717952323,100,27
1717952324,100,27
1717952325,96,29
1717952326,99,27
1717952327,100,26
1717952328,100,25
1717952329,78,55
1717952330,79,55
1717952331,81,56
1717952332,94,27
1717952333,76,54
1717952334,91,48
1717952335,84,60
1717952336,82,63
1717952338,100,25
1717952339,82,56
1717952340,86,60
1717952341,86,41
1717952342,81,58
1717952343,82,58
1717952344,79,57
1717952345,78,57
1717952346,77,54
1717952347,82,57
1717952348,100,25
1717952349,83,55
1717952350,79,56
1717952351,81,58
1717952352,100,25
